Model,Metric,Value
GE,R2,0.7790777424745514
Ridge,PCC,0.524315081199021
phi,PCC,0.48392701599647375
GE,PCC,0.7945950813906764
Ridge,r/s,12.769793529054368
phi,r/s,12.769793529054368
GE,r/s,124.45773213809763
Ridge,MAE,27952.138070919635
phi,MAE,102414.97031614685
GE,MAE,17226.01027990847
Ridge,MSE,751128.7256836521
phi,MSE,6446921.506444613
GE,MSE,608824.0398358905
Ridge,RMSE,866.6768288604767
phi,RMSE,2539.0788696778627
GE,RMSE,780.2717730610858
Ridge,r,0.6723626796218904
phi,r,0.619363023680257
GE,r,0.8433486170541857
Ridge,R2,0.4520715626188143
phi,R2,-3.702857853998667
GE,R2,0.5558790479172575
Ridge,PCC,0.45207157294832817
phi,PCC,0.38361055510235137
GE,PCC,0.7112368898872078
Ridge,r/s,13.154122803013088
phi,r/s,13.154122803013088
GE,r/s,95.00107429649445
Ridge,MAE,33778.653256380705
phi,MAE,85585.66453672992
GE,MAE,21126.10256463654
Ridge,MSE,1013833.5035148633
phi,MSE,5608747.544812264
GE,MSE,730095.5410624024
Ridge,RMSE,1006.8929950669352
phi,RMSE,2368.2794482096624
GE,RMSE,854.4562838802243
Ridge,r,0.7198866601549017
phi,r,0.6640449936309208
GE,r,0.843749185936814
Ridge,R2,0.5182367928709068
phi,R2,-1.6652188902796148
GE,R2,0.6530661413798141
Ridge,PCC,0.5182368034689787
phi,PCC,0.4409557535662912
GE,PCC,0.7119126887690352
Ridge,r/s,12.098182054857523
phi,r/s,12.098182054857523
GE,r/s,110.07100075709553
Ridge,MAE,30150.583172579565
phi,MAE,68315.6965962201
GE,MAE,19141.000216931712
Ridge,MSE,860868.125514349
phi,MSE,3876236.1913018795
GE,MSE,735245.9917745236
Ridge,RMSE,927.8297933965847
phi,RMSE,1968.8159363693396
GE,RMSE,857.4648632885919
Ridge,r,0.6945876895604611
phi,r,0.651282411457003
GE,r,0.82928613753585
Ridge,R2,0.4824520460846876
phi,R2,-1.3303663479260104
GE,R2,0.5579752027176794
Ridge,PCC,0.48245205848893813
phi,PCC,0.42416877947324827
GE,PCC,0.6877154979091293
Ridge,r/s,13.418237613366617
phi,r/s,13.418237613366617
GE,r/s,96.57163227946722
Ridge,MAE,26293.088439100105
phi,MAE,97644.02601910505
GE,MAE,17285.93212672642
Ridge,MSE,768459.7320576437
phi,MSE,5939223.661244528
GE,MSE,825123.672104846
Ridge,RMSE,876.6183502857123
phi,RMSE,2437.052248361641
GE,RMSE,908.3631829311698
Ridge,r,0.6490541373216129
phi,r,0.6007351904199391
GE,r,0.8168594891803318
Ridge,R2,0.4212712641925034
