Model,Metric,Value
PW_L,PCC,0.5801806722831107
PW_GE,PCC,0.9416514281154904
ADD_L,MAE,28408.606449827854
ADD_GE,MAE,16863.968996476153
PW_L,MAE,25774.749470457737
PW_GE,MAE,8985.717273634307
ADD_L,MSE,1701617.7865792147
ADD_GE,MSE,802817.7545005262
PW_L,MSE,1534385.0122508898
PW_GE,MSE,321343.9704983078
ADD_L,RMSE,1304.460726346031
ADD_GE,RMSE,896.0009790734194
PW_L,RMSE,1238.702955615627
PW_GE,RMSE,566.8720935963489
ADD_L,r,0.5164484245042537
ADD_GE,r,0.8130460455630337
PW_L,r,0.7044511646720436
PW_GE,r,0.922861944280899
ADD_L,PCC,0.26671897517292603
ADD_GE,PCC,0.6610438722056851
PW_L,PCC,0.49625144340779964
PW_GE,PCC,0.8516741682019225
ADD_L,MAE,19391.874552512654
ADD_GE,MAE,5914.093824503373
PW_L,MAE,18489.454894085316
PW_GE,MAE,5028.677643172595
ADD_L,MSE,727861.9883473894
ADD_GE,MSE,86923.76372646226
PW_L,MSE,686579.7177628758
PW_GE,MSE,85513.16620410877
ADD_L,RMSE,853.1482803987765
ADD_GE,RMSE,294.8283631648459
PW_L,RMSE,828.6010606817226
PW_GE,RMSE,292.4263432116005
ADD_L,r,0.5085204701356684
ADD_GE,r,0.9378744154114574
PW_L,r,0.739911858184526
PW_GE,r,0.953772000119859
ADD_L,PCC,0.2585930685470013
ADD_GE,PCC,0.8796084190833828
PW_L,PCC,0.5474695578820777
PW_GE,PCC,0.9096810282126369
ADD_L,MAE,32291.864590236117
ADD_GE,MAE,8081.66447900266
PW_L,MAE,27867.514154239576
PW_GE,MAE,5723.9153031329715
